                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9109,                 4.0393,                 4.4265,                0.00296,                0.83871,                0.00782,                0.00216,                 2.1157,                 4.2893,                 4.1517,                0.00044,                0.00044,                0.00044
                      2,                 2.8043,                 3.2141,                  3.932,                0.00297,                0.83871,                0.00641,                0.00201,                 2.0994,                 4.2467,                 4.1526,              0.0008703,              0.0008703,              0.0008703
                      3,                 2.7069,                 2.5461,                 3.6106,                0.00307,                0.86022,                0.00621,                0.00225,                 2.1021,                 4.3566,                 4.2489,              0.0012702,              0.0012702,              0.0012702
                      4,                 2.5371,                 2.2179,                 3.3589,                0.00622,                0.67742,                0.02069,                0.01302,                 1.9501,                 3.9321,                 3.7109,              0.0016398,              0.0016398,              0.0016398
                      5,                 2.4206,                 2.0731,                 3.1644,                0.36961,                0.67742,                0.44682,                0.14814,                 2.0334,                  2.451,                 5.2096,               0.001736,               0.001736,               0.001736
                      6,                 2.2309,                 1.9948,                 3.0179,                0.19385,                0.58065,                  0.154,                0.05394,                 2.4141,                 10.762,                 9.3661,               0.001736,               0.001736,               0.001736
                      7,                 2.1952,                 1.8053,                 3.0118,                 0.8529,                0.83871,                0.92548,                0.51836,                 1.6521,                 2.4841,                 2.8108,                0.00167,                0.00167,                0.00167
                      8,                 2.0076,                 1.6847,                 2.8549,                0.80928,                0.65591,                0.74897,                0.27286,                  2.169,                 2.0625,                 3.2362,               0.001604,               0.001604,               0.001604
                      9,                 1.9256,                 1.6159,                 2.7481,                  0.404,                0.67742,                0.51287,                0.25579,                 1.9146,                 2.3343,                 3.3765,               0.001538,               0.001538,               0.001538
                     10,                 1.8947,                 1.5754,                 2.7229,                0.84437,                0.81675,                  0.924,                0.52582,                 1.5885,                 1.7037,                 2.5545,               0.001472,               0.001472,               0.001472
                     11,                 1.7548,                 1.4163,                 2.5717,                0.87718,                0.92158,                0.96318,                0.52999,                 1.6079,                 1.4132,                 2.6542,               0.001406,               0.001406,               0.001406
                     12,                   1.72,                 1.3578,                  2.558,                0.91466,                0.89247,                0.95226,                0.60173,                 1.4176,                 1.2951,                 2.4252,                0.00134,                0.00134,                0.00134
                     13,                 1.6626,                 1.3413,                 2.4789,                0.91736,                0.92473,                0.97399,                0.57755,                 1.4322,                 2.0066,                 2.3427,               0.001274,               0.001274,               0.001274
                     14,                 1.6079,                  1.248,                 2.4455,                 0.8919,                0.88716,                0.95287,                0.60118,                 1.3441,                 1.3793,                 2.2937,               0.001208,               0.001208,               0.001208
                     15,                 1.5759,                 1.1862,                  2.382,                0.92102,                0.95699,                0.95989,                0.65491,                 1.2465,                 1.0645,                 2.2062,               0.001142,               0.001142,               0.001142
                     16,                 1.5287,                 1.1706,                 2.3298,                0.92199,                0.94624,                0.97234,                0.65379,                 1.2544,                 1.0532,                 2.1079,               0.001076,               0.001076,               0.001076
                     17,                 1.5448,                 1.1785,                   2.34,                0.80009,                0.78495,                0.84461,                0.56832,                 1.2611,                  1.248,                 2.1389,                0.00101,                0.00101,                0.00101
                     18,                 1.4847,                 1.1145,                 2.2743,                0.91906,                0.97676,                0.97588,                0.65481,                 1.2183,                0.88992,                 2.0602,               0.000944,               0.000944,               0.000944
                     19,                 1.4389,                 1.0844,                 2.2006,                0.96617,                0.92137,                0.98316,                0.67458,                 1.1272,                 1.0474,                 2.0204,               0.000878,               0.000878,               0.000878
                     20,                 1.4141,                 1.0521,                 2.1902,                0.96451,                0.87683,                0.96237,                0.69936,                  1.117,                0.88425,                 2.0099,               0.000812,               0.000812,               0.000812
                     21,                 1.1755,                0.97231,                 2.0754,                0.95071,                0.90323,                0.95909,                0.67687,                 1.1548,                0.85674,                 2.0871,               0.000746,               0.000746,               0.000746
                     22,                 1.2014,                0.95446,                 2.0987,                  0.959,                0.93548,                0.98268,                0.68997,                 1.1623,                0.75079,                 2.0663,                0.00068,                0.00068,                0.00068
                     23,                 1.1854,                0.92158,                 2.0973,                0.96384,                0.85991,                0.96723,                0.66838,                 1.1364,                0.92176,                 2.0475,               0.000614,               0.000614,               0.000614
                     24,                 1.1819,                0.92714,                 2.0727,                0.93517,                0.92473,                0.96734,                0.66653,                 1.1503,                0.85738,                 2.0481,               0.000548,               0.000548,               0.000548
                     25,                 1.1108,                0.86603,                 1.9715,                      1,                0.95651,                0.98442,                0.71416,                 1.0604,                0.72013,                 1.9002,               0.000482,               0.000482,               0.000482
                     26,                  1.108,                0.83477,                 1.9785,                 0.9891,                0.97565,                0.99157,                0.73277,                 1.0682,                0.66637,                 1.8713,               0.000416,               0.000416,               0.000416
                     27,                 1.0786,                0.81751,                 1.9657,                0.99709,                0.98925,                0.99479,                0.71932,                 1.0994,                0.67492,                 1.8903,                0.00035,                0.00035,                0.00035
                     28,                 1.0778,                0.80109,                 1.9338,                0.98412,                0.98925,                0.99394,                0.71998,                 1.0729,                0.66658,                 1.8706,               0.000284,               0.000284,               0.000284
                     29,                 1.0419,                0.77374,                 1.8848,                0.96757,                0.96248,                0.98248,                0.70689,                 1.0574,                 0.7232,                 1.9368,               0.000218,               0.000218,               0.000218
                     30,                 1.0337,                0.74792,                 1.8942,                0.98886,                0.95442,                  0.989,                0.73967,                 1.0213,                0.65074,                 1.8405,               0.000152,               0.000152,               0.000152
